0001 | Nevus | A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0045 | Nevus | RAG fact: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0046 | Nevus | RAG fact: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0047 | Nevus | RAG fact: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0048 | Nevus | RAG fact: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0049 | Nevus | RAG fact: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0050 | Nevus | RAG fact: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0051 | Nevus | Lesion summary: A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0052 | Nevus | Lesion summary: A melanocytic nevus is also called a mole or melanocytic naevus. | sources=S8
0053 | Nevus | Lesion summary: A nevus may be present at birth or may appear later as an acquired lesion. | sources=S8
0054 | Nevus | Lesion summary: Brown or black nevi contain melanin and may be called pigmented nevi. | sources=S8
0055 | Nevus | Lesion summary: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0056 | Nevus | Lesion summary: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0057 | Nevus | Lesion summary: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0058 | Nevus | Lesion summary: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0059 | Nevus | Lesion summary: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0060 | Nevus | Lesion summary: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0061 | Nevus | Medical note: A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0062 | Nevus | Medical note: A melanocytic nevus is also called a mole or melanocytic naevus. | sources=S8
0063 | Nevus | Medical note: A nevus may be present at birth or may appear later as an acquired lesion. | sources=S8
0064 | Nevus | Medical note: Brown or black nevi contain melanin and may be called pigmented nevi. | sources=S8
0065 | Nevus | Medical note: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0066 | Nevus | Medical note: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0067 | Nevus | Medical note: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0068 | Nevus | Medical note: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0069 | Nevus | Medical note: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0070 | Nevus | Medical note: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0071 | Nevus | Classification clue: A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0072 | Nevus | Classification clue: A melanocytic nevus is also called a mole or melanocytic naevus. | sources=S8
0073 | Nevus | Classification clue: A nevus may be present at birth or may appear later as an acquired lesion. | sources=S8
0074 | Nevus | Classification clue: Brown or black nevi contain melanin and may be called pigmented nevi. | sources=S8
0075 | Nevus | Classification clue: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0076 | Nevus | Classification clue: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0077 | Nevus | Classification clue: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0078 | Nevus | Classification clue: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0079 | Nevus | Classification clue: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0080 | Nevus | Classification clue: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0081 | Nevus | Reference-backed statement: A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0082 | Nevus | Reference-backed statement: A melanocytic nevus is also called a mole or melanocytic naevus. | sources=S8
0083 | Nevus | Reference-backed statement: A nevus may be present at birth or may appear later as an acquired lesion. | sources=S8
0084 | Nevus | Reference-backed statement: Brown or black nevi contain melanin and may be called pigmented nevi. | sources=S8
0085 | Nevus | Reference-backed statement: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0086 | Nevus | Reference-backed statement: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0087 | Nevus | Reference-backed statement: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0088 | Nevus | Reference-backed statement: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0089 | Nevus | Reference-backed statement: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0090 | Nevus | Reference-backed statement: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0091 | Nevus | Dermatology corpus line: A melanocytic nevus is a common benign skin lesion caused by a local proliferation of melanocytes. | sources=S8
0092 | Nevus | Dermatology corpus line: A melanocytic nevus is also called a mole or melanocytic naevus. | sources=S8
0093 | Nevus | Dermatology corpus line: A nevus may be present at birth or may appear later as an acquired lesion. | sources=S8
0094 | Nevus | Dermatology corpus line: Brown or black nevi contain melanin and may be called pigmented nevi. | sources=S8
0095 | Nevus | Dermatology corpus line: Many benign nevi on the same person share a similar overall dermoscopic pattern. | sources=S8
0096 | Nevus | Dermatology corpus line: In dermoscopy, benign melanocytic lesions are assessed after deciding that the lesion is melanocytic. | sources=S8
0097 | Nevus | Dermatology corpus line: Pattern analysis is used to distinguish benign melanocytic lesions from melanoma. | sources=S8
0098 | Nevus | Dermatology corpus line: An ugly-duckling lesion is one that looks different from a person’s other nevi and deserves closer evaluation. | sources=S8
0099 | Nevus | Dermatology corpus line: Some benign nevi show globular patterns on dermoscopy. | sources=S8
0100 | Nevus | Dermatology corpus line: Some benign nevi show homogeneous patterns on dermoscopy. | sources=S8
0101 | Melanoma, NOS | Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0102 | Melanoma, NOS | Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0103 | Melanoma, NOS | Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0104 | Melanoma, NOS | Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0105 | Melanoma, NOS | Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0106 | Melanoma, NOS | Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0107 | Melanoma, NOS | Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0108 | Melanoma, NOS | The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0109 | Melanoma, NOS | Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0110 | Melanoma, NOS | Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0111 | Melanoma, NOS | Diagnostic note: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0112 | Melanoma, NOS | Diagnostic note: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0113 | Melanoma, NOS | Diagnostic note: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0114 | Melanoma, NOS | Diagnostic note: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0115 | Melanoma, NOS | Diagnostic note: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0116 | Melanoma, NOS | Diagnostic note: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0117 | Melanoma, NOS | Diagnostic note: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0118 | Melanoma, NOS | Diagnostic note: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0119 | Melanoma, NOS | Diagnostic note: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0120 | Melanoma, NOS | Diagnostic note: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0121 | Melanoma, NOS | Clinical teaching point: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0122 | Melanoma, NOS | Clinical teaching point: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0123 | Melanoma, NOS | Clinical teaching point: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0124 | Melanoma, NOS | Clinical teaching point: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0125 | Melanoma, NOS | Clinical teaching point: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0126 | Melanoma, NOS | Clinical teaching point: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0127 | Melanoma, NOS | Clinical teaching point: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0128 | Melanoma, NOS | Clinical teaching point: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0129 | Melanoma, NOS | Clinical teaching point: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0130 | Melanoma, NOS | Clinical teaching point: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0131 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0132 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0133 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0134 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0135 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0136 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0137 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0138 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that the ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0139 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0140 | Melanoma, NOS | For dermoscopy-focused retrieval, remember that early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0141 | Melanoma, NOS | RAG fact: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0142 | Melanoma, NOS | RAG fact: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0143 | Melanoma, NOS | RAG fact: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0144 | Melanoma, NOS | RAG fact: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0145 | Melanoma, NOS | RAG fact: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0146 | Melanoma, NOS | RAG fact: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0147 | Melanoma, NOS | RAG fact: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0148 | Melanoma, NOS | RAG fact: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0149 | Melanoma, NOS | RAG fact: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0150 | Melanoma, NOS | RAG fact: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0151 | Melanoma, NOS | Lesion summary: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0152 | Melanoma, NOS | Lesion summary: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0153 | Melanoma, NOS | Lesion summary: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0154 | Melanoma, NOS | Lesion summary: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0155 | Melanoma, NOS | Lesion summary: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0156 | Melanoma, NOS | Lesion summary: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0157 | Melanoma, NOS | Lesion summary: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0158 | Melanoma, NOS | Lesion summary: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0159 | Melanoma, NOS | Lesion summary: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0160 | Melanoma, NOS | Lesion summary: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0161 | Melanoma, NOS | Medical note: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0162 | Melanoma, NOS | Medical note: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0163 | Melanoma, NOS | Medical note: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0164 | Melanoma, NOS | Medical note: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0165 | Melanoma, NOS | Medical note: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0166 | Melanoma, NOS | Medical note: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0167 | Melanoma, NOS | Medical note: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0168 | Melanoma, NOS | Medical note: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0169 | Melanoma, NOS | Medical note: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0170 | Melanoma, NOS | Medical note: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0171 | Melanoma, NOS | Classification clue: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0172 | Melanoma, NOS | Classification clue: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0173 | Melanoma, NOS | Classification clue: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0174 | Melanoma, NOS | Classification clue: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0175 | Melanoma, NOS | Classification clue: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0176 | Melanoma, NOS | Classification clue: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0177 | Melanoma, NOS | Classification clue: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0178 | Melanoma, NOS | Classification clue: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0179 | Melanoma, NOS | Classification clue: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0180 | Melanoma, NOS | Classification clue: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0181 | Melanoma, NOS | Reference-backed statement: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0182 | Melanoma, NOS | Reference-backed statement: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0183 | Melanoma, NOS | Reference-backed statement: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0184 | Melanoma, NOS | Reference-backed statement: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0185 | Melanoma, NOS | Reference-backed statement: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0186 | Melanoma, NOS | Reference-backed statement: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0187 | Melanoma, NOS | Reference-backed statement: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0188 | Melanoma, NOS | Reference-backed statement: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0189 | Melanoma, NOS | Reference-backed statement: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0190 | Melanoma, NOS | Reference-backed statement: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0191 | Melanoma, NOS | Dermatology corpus line: Melanoma is a potentially very serious skin cancer that arises from melanocytes. | sources=S1,S11,S12
0192 | Melanoma, NOS | Dermatology corpus line: Melanoma is less common than basal cell carcinoma and squamous cell carcinoma but is much more likely to invade nearby tissue and spread. | sources=S1,S11,S12
0193 | Melanoma, NOS | Dermatology corpus line: Many deaths from skin cancer are caused by melanoma. | sources=S1,S11,S12
0194 | Melanoma, NOS | Dermatology corpus line: Early melanoma can have subtle structural features on dermoscopy. | sources=S1,S11,S12
0195 | Melanoma, NOS | Dermatology corpus line: Melanoma may be recognized on dermoscopy even when only two or three colors are present. | sources=S1,S11,S12
0196 | Melanoma, NOS | Dermatology corpus line: Deeper melanomas often show more colors on dermoscopy. | sources=S1,S11,S12
0197 | Melanoma, NOS | Dermatology corpus line: Scar-like depigmentation can occur in melanoma because of regression. | sources=S1,S11,S12
0198 | Melanoma, NOS | Dermatology corpus line: The ABCDE warning signs of melanoma are asymmetry, border irregularity, color variation, diameter, and evolution. | sources=S1,S11,S12
0199 | Melanoma, NOS | Dermatology corpus line: Melanoma can develop in an existing mole or appear as a new dark lesion that looks different from the rest. | sources=S1,S11,S12
0200 | Melanoma, NOS | Dermatology corpus line: Early diagnosis and treatment are critical because melanoma has a tendency to spread. | sources=S1,S11,S12
0201 | Basal cell carcinoma | Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0202 | Basal cell carcinoma | Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0203 | Basal cell carcinoma | Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0204 | Basal cell carcinoma | Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0205 | Basal cell carcinoma | Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0206 | Basal cell carcinoma | Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0207 | Basal cell carcinoma | Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0208 | Basal cell carcinoma | Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0209 | Basal cell carcinoma | A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0210 | Basal cell carcinoma | Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0211 | Basal cell carcinoma | Diagnostic note: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0212 | Basal cell carcinoma | Diagnostic note: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0213 | Basal cell carcinoma | Diagnostic note: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0214 | Basal cell carcinoma | Diagnostic note: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0215 | Basal cell carcinoma | Diagnostic note: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0216 | Basal cell carcinoma | Diagnostic note: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0217 | Basal cell carcinoma | Diagnostic note: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0218 | Basal cell carcinoma | Diagnostic note: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0219 | Basal cell carcinoma | Diagnostic note: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0220 | Basal cell carcinoma | Diagnostic note: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0221 | Basal cell carcinoma | Clinical teaching point: Basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0222 | Basal cell carcinoma | Clinical teaching point: Basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0223 | Basal cell carcinoma | Clinical teaching point: Patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0224 | Basal cell carcinoma | Clinical teaching point: Basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
0225 | Basal cell carcinoma | Clinical teaching point: Nodular, superficial, and morphoeic forms are recognized subtypes of basal cell carcinoma. | sources=S2,S13,S14
0226 | Basal cell carcinoma | Clinical teaching point: Clinical BCC often appears as a slowly growing irregular nodule or plaque. | sources=S2,S13,S14
0227 | Basal cell carcinoma | Clinical teaching point: Basal cell carcinoma may be skin colored, pink, or pigmented. | sources=S2,S13,S14
0228 | Basal cell carcinoma | Clinical teaching point: Spontaneous bleeding, erosion, or ulceration can occur in basal cell carcinoma. | sources=S2,S13,S14
0229 | Basal cell carcinoma | Clinical teaching point: A nodular BCC can appear shiny or pearly and may have rolled edges and visible vessels. | sources=S2,S13,S14
0230 | Basal cell carcinoma | Clinical teaching point: Pigmented BCC often lacks a pigment network and may show arborizing vessels, leaf-like areas, or blue-gray ovoid nests on dermoscopy. | sources=S2,S13,S14
0231 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that basal cell carcinoma is a common, locally invasive keratinocytic skin cancer. | sources=S2,S13,S14
0232 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that basal cell carcinoma is also called BCC, rodent ulcer, or basalioma. | sources=S2,S13,S14
0233 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that patients with basal cell carcinoma often develop multiple primary tumors over time. | sources=S2,S13,S14
0234 | Basal cell carcinoma | For dermoscopy-focused retrieval, remember that basal cell carcinoma can be pigmented or nonpigmented. | sources=S2,S13,S14
